deviceId,timestamp,data,value,change
22229D9,2021-02-12 16:01:15,CH1,14,14
22229D9,2021-02-12 16:01:15,CH2,18,18
22229D9,2021-02-12 16:01:15,CH3,26,26
22229D9,2021-02-12 16:01:15,CH4,11,11
22229D9,2021-02-12 16:01:15,CH5,34,34
22229D9,2021-02-12 16:01:15,CH6,56,56
22229D7,2021-02-12 16:01:18,CH1,4,-10
22229D7,2021-02-12 16:01:18,CH2,2,-22
22229D7,2021-02-12 16:01:18,CH3,13,-13
22229D7,2021-02-12 16:01:18,CH4,29,29
22229D7,2021-02-12 16:01:18,CH5,71,64
22229D7,2021-02-12 16:01:18,CH6,28,-30
22229D9,2021-02-12 16:01:24,CH1,4,-10
22229D9,2021-02-12 16:01:24,CH2,13,-5
22229D9,2021-02-12 16:01:24,CH3,10,-16
22229D9,2021-02-12 16:01:24,CH4,3,-8
22229D9,2021-02-12 16:01:24,CH5,56,22
22229D9,2021-02-12 16:01:24,CH6,24,-32
22229D7,2021-02-12 16:01:28,CH1,2,-2
22229D7,2021-02-12 16:01:28,CH2,21,19
22229D7,2021-02-12 16:01:28,CH3,35,22
22229D7,2021-02-12 16:01:28,CH4,33,4
22229D7,2021-02-12 16:01:28,CH5,50,-21
22229D7,2021-02-12 16:01:28,CH6,93,65
22229D9,2021-02-12 16:01:40,CH1,15,11
22229D9,2021-02-12 16:01:40,CH2,9,-4
22229D9,2021-02-12 16:01:40,CH3,34,24
22229D9,2021-02-12 16:01:40,CH4,56,53
22229D9,2021-02-12 16:01:40,CH5,71,15
22229D9,2021-02-12 16:01:40,CH6,32,8
22229D7,2021-02-12 16:01:41,CH1,5,3
22229D7,2021-02-12 16:01:41,CH2,1,-20
22229D7,2021-02-12 16:01:41,CH3,32,-3
22229D7,2021-02-12 16:01:41,CH4,30,-3
22229D7,2021-02-12 16:01:41,CH5,21,-29
22229D7,2021-02-12 16:01:41,CH6,94,1
22229D9,2021-02-12 16:01:53,CH1,8,-7
22229D9,2021-02-12 16:01:53,CH2,12,3
22229D9,2021-02-12 16:01:53,CH3,10,-24
22229D9,2021-02-12 16:01:53,CH4,57,1
22229D9,2021-02-12 16:01:53,CH5,72,1
22229D9,2021-02-12 16:01:53,CH6,43,11
22229D7,2021-02-12 16:01:56,CH1,0,-5
22229D7,2021-02-12 16:01:56,CH2,16,15
22229D7,2021-02-12 16:01:56,CH3,29,-3
22229D7,2021-02-12 16:01:56,CH4,39,9
22229D7,2021-02-12 16:01:56,CH5,32,11
22229D7,2021-02-12 16:01:56,CH6,3,-91
22229D7,2021-02-12 16:04:12,CH1,9,9
22229D7,2021-02-12 16:04:12,CH2,1,-15
22229D7,2021-02-12 16:04:12,CH3,16,-13
22229D7,2021-02-12 16:04:12,CH4,51,12
22229D7,2021-02-12 16:04:12,CH5,66,34
22229D7,2021-02-12 16:04:12,CH6,98,95
22229D9,2021-02-12 16:04:15,CH1,6,-2
22229D9,2021-02-12 16:04:15,CH2,27,15
22229D9,2021-02-12 16:04:15,CH3,5,-5
22229D9,2021-02-12 16:04:15,CH4,18,-39
22229D9,2021-02-12 16:04:15,CH5,46,-26
22229D9,2021-02-12 16:04:15,CH6,19,-24
22229D9,2021-02-12 16:04:25,CH1,16,10
22229D9,2021-02-12 16:04:25,CH2,10,-17
22229D9,2021-02-12 16:04:25,CH3,1,-4
22229D9,2021-02-12 16:04:25,CH4,40,22
22229D9,2021-02-12 16:04:25,CH5,67,21
22229D9,2021-02-12 16:04:25,CH6,50,31
22229D7,2021-02-12 16:04:34,CH1,14,5
22229D7,2021-02-12 16:04:34,CH2,21,20
22229D7,2021-02-12 16:04:34,CH3,36,20
22229D7,2021-02-12 16:04:34,CH4,17,-34
22229D7,2021-02-12 16:04:34,CH5,31,-35
22229D7,2021-02-12 16:04:34,CH6,59,-39
22229D7,2021-02-12 16:09:07,CH1,8,-6
22229D7,2021-02-12 16:09:07,CH2,22,1
22229D7,2021-02-12 16:09:07,CH3,11,-25
22229D7,2021-02-12 16:09:07,CH4,44,27
22229D7,2021-02-12 16:09:07,CH5,50,19
22229D7,2021-02-12 16:09:07,CH6,87,28
22229D9,2021-02-12 16:09:08,CH1,14,-2
22229D9,2021-02-12 16:09:08,CH2,24,14
22229D9,2021-02-12 16:09:08,CH3,26,25
22229D9,2021-02-12 16:09:08,CH4,0,-40
22229D9,2021-02-12 16:09:08,CH5,7,-60
22229D9,2021-02-12 16:09:08,CH6,58,8
