location,deviceId,timestamp,data,value,change
SA,22229D7,2021-03-01 11:39:09,CH1,11,11
SA,22229D7,2021-03-01 11:39:09,CH2,8,8
SA,22229D7,2021-03-01 11:39:09,CH3,37,37
SA,22229D7,2021-03-01 11:39:09,CH4,43,43
SA,22229D7,2021-03-01 11:39:09,CH5,60,60
SA,22229D7,2021-03-01 11:39:09,CH6,37,37
SA,22229D7,2021-03-01 11:39:23,CH1,12,1
SA,22229D7,2021-03-01 11:39:23,CH2,14,6
SA,22229D7,2021-03-01 11:39:23,CH3,4,-33
SA,22229D7,2021-03-01 11:39:23,CH4,7,-36
SA,22229D7,2021-03-01 11:39:23,CH5,4,-56
SA,22229D7,2021-03-01 11:39:23,CH6,52,15
SA,22229D7,2021-03-01 11:46:40,CH1,4,-8
SA,22229D7,2021-03-01 11:46:40,CH2,9,-5
SA,22229D7,2021-03-01 11:46:40,CH3,34,30
SA,22229D7,2021-03-01 11:46:40,CH4,46,39
SA,22229D7,2021-03-01 11:46:40,CH5,43,39
SA,22229D7,2021-03-01 11:46:40,CH6,94,42
SA,22229D7,2021-03-01 11:47:27,CH1,4,0
SA,22229D7,2021-03-01 11:47:27,CH2,2,-7
SA,22229D7,2021-03-01 11:47:27,CH3,13,-21
SA,22229D7,2021-03-01 11:47:27,CH4,29,-17
SA,22229D7,2021-03-01 11:47:27,CH5,71,28
SA,22229D7,2021-03-01 11:47:27,CH6,28,-66
SA,22229D7,2021-03-01 11:48:25,CH1,2,-2
SA,22229D7,2021-03-01 11:48:25,CH2,21,19
SA,22229D7,2021-03-01 11:48:25,CH3,35,22
SA,22229D7,2021-03-01 11:48:25,CH4,33,4
SA,22229D7,2021-03-01 11:48:25,CH5,50,-21
SA,22229D7,2021-03-01 11:48:25,CH6,93,65
SA,22229D7,2021-03-01 11:50:54,CH1,5,3
SA,22229D7,2021-03-01 11:50:54,CH2,1,-20
SA,22229D7,2021-03-01 11:50:54,CH3,32,-3
SA,22229D7,2021-03-01 11:50:54,CH4,30,-3
SA,22229D7,2021-03-01 11:50:54,CH5,21,-29
SA,22229D7,2021-03-01 11:50:54,CH6,94,1
SA,22229D7,2021-03-01 11:56:01,CH1,0,-5
SA,22229D7,2021-03-01 11:56:01,CH2,16,15
SA,22229D7,2021-03-01 11:56:01,CH3,29,-3
SA,22229D7,2021-03-01 11:56:01,CH4,39,9
SA,22229D7,2021-03-01 11:56:01,CH5,32,11
SA,22229D7,2021-03-01 11:56:01,CH6,3,-91
SA,22229D7,2021-03-01 11:57:31,CH1,9,9
SA,22229D7,2021-03-01 11:57:31,CH2,1,-15
SA,22229D7,2021-03-01 11:57:31,CH3,16,-13
SA,22229D7,2021-03-01 11:57:31,CH4,51,12
SA,22229D7,2021-03-01 11:57:31,CH5,66,34
SA,22229D7,2021-03-01 11:57:31,CH6,98,95
SA,22229D7,2021-03-01 12:13:32,CH1,8,-1
SA,22229D7,2021-03-01 12:13:32,CH2,22,21
SA,22229D7,2021-03-01 12:13:32,CH3,11,-5
SA,22229D7,2021-03-01 12:13:32,CH4,44,-7
SA,22229D7,2021-03-01 12:13:32,CH5,50,-16
SA,22229D7,2021-03-01 12:13:32,CH6,87,-11
SA,22229D7,2021-03-01 12:14:06,CH1,13,5
SA,22229D7,2021-03-01 12:14:06,CH2,11,-11
SA,22229D7,2021-03-01 12:14:06,CH3,39,28
SA,22229D7,2021-03-01 12:14:06,CH4,5,-39
SA,22229D7,2021-03-01 12:14:06,CH5,8,-42
SA,22229D7,2021-03-01 12:14:06,CH6,44,-43
SA,22229D7,2021-03-01 12:22:39,CH1,8,-5
SA,22229D7,2021-03-01 12:22:39,CH2,10,-1
SA,22229D7,2021-03-01 12:22:39,CH3,18,-21
SA,22229D7,2021-03-01 12:22:39,CH4,24,19
SA,22229D7,2021-03-01 12:22:39,CH5,64,56
SA,22229D7,2021-03-01 12:22:39,CH6,48,4
SA,22229D7,2021-03-01 12:39:46,CH1,11,3
SA,22229D7,2021-03-01 12:39:46,CH2,15,5
SA,22229D7,2021-03-01 12:39:46,CH3,24,6
SA,22229D7,2021-03-01 12:39:46,CH4,45,21
SA,22229D7,2021-03-01 12:39:46,CH5,41,-23
SA,22229D7,2021-03-01 12:39:46,CH6,85,37
SA,22229D7,2021-03-01 12:40:33,CH1,18,7
SA,22229D7,2021-03-01 12:40:33,CH2,14,-1
SA,22229D7,2021-03-01 12:40:33,CH3,9,-15
SA,22229D7,2021-03-01 12:40:33,CH4,36,-9
SA,22229D7,2021-03-01 12:40:33,CH5,11,-30
SA,22229D7,2021-03-01 12:40:33,CH6,7,-78
SA,22229D7,2021-03-01 12:58:23,CH1,7,-11
SA,22229D7,2021-03-01 12:58:23,CH2,9,-5
SA,22229D7,2021-03-01 12:58:23,CH3,9,0
SA,22229D7,2021-03-01 12:58:23,CH4,13,-23
SA,22229D7,2021-03-01 12:58:23,CH5,58,47
SA,22229D7,2021-03-01 12:58:23,CH6,22,15
